Inventory,Vin,Year,Make,Model,Trim,Interior Color,Exterior Color,Odometer Value,Odometer Units,Drivetrain,Transmission Type,Engine Type,MMR,Condition Report Grade,Seller Name,Facilitation Location,Pickup Location,Starts At,Ends At,Lane,Run,Bid Count,Bid Amount,Buy Now Price,Event Sale Name,Seller Comments,Status,Notes
Simulcast,4S3BNBN66G3019325,2016,SUBARU,LIMITED,LIMITED,Beige,White,110400,mi,AWD,CVT,"4 Cylinder",6325,1.9,"Subaru Of Pembroke Pines","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,4,85,,,,,,Live,
Simulcast,5FNYF6H09NB075507,2022,HONDA,"PILOT ELITE",ELITE,Tan,White,32757,mi,AWD,Automatic,"6 Cylinder",34800,3.7,"Eccentric Cars Co","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,106,,,,,,Live,
Simulcast,3GTU2VEC1EG397247,2014,GMC,SLT,SLT,Black,Black,228681,mi,4WD,Automatic,"8 Cylinder",7250,3.6,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,126,,,,,,Live,
Simulcast,2T3JF4DV3CW189484,2012,TOYOTA,"RAV4 4X4 4C",,Gray,Silver,180941,mi,4WD,Automatic,"4 Cylinder",4625,,"Flex Rent A Car Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,115,,,,,,Live,
Simulcast,W1KWF8EB5MR630752,2021,MERCEDES-B,C-CLASS,"C 300",Black,Gray,40867,mi,AWD,Automatic,"4 Cylinder Turbo",22200,2.9,Fleet.go,"Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,10,111,,,,,,Live,
Simulcast,1C4BJWDG4DL611542,2013,JEEP,"WRANG UN SPT",SPORT,Black,Green,95497,mi,4WD,Automatic,"6 Cylinder",5475,1.0,"Consumer Portfolio Services","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,450,,,,,,Live,
Simulcast,WDBSK75F16F113341,2006,"MERCEDES B",SL500R,5.0L,Gray,Red,52561,mi,RWD,Automatic,"8 Cylinder",9475,3.2,"Lexus Of Pembroke Pines","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,4,76,,,,,,Live,
Simulcast,2C3CDXCT5PH523234,2023,DODGE,"CHAR R/T",R/T,Black,Black,35921,mi,RWD,Automatic,"8 Cylinder",31600,,"Royal Rent A Car","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T15:00:00Z,2025-04-10T03:59:59Z,98,80,,,,,,Live,
Simulcast,3N1AB7AP2EY322707,2014,NISSAN,SV,SV,Gray,Black,89841,mi,FWD,CVT,"4 Cylinder",2250,2.5,"Auto 7 Usa Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,871,,,,,,Live,
Simulcast,1C4HJXDN3JW253987,2018,JEEP,"WRANG UNLTD 4C","SPORT S",Black,Blue,66048,mi,4WD,Automatic,"4 Cylinder Turbo",18900,,"Bertho Auto Sales & Auto Repair Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,134,,,,,,Live,
Simulcast,1FADP3F25JL225110,2018,FORD,SE,SE,Gray,Gray,128166,mi,FWD,Automatic,"4 Cylinder",2775,2.9,"American Funding Trust","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,9,188,,,,,,Live,
Simulcast,1C4RDHDG3PC555356,2023,DODGE,"DUR GT",GT,Black,Gray,73767,mi,RWD,Automatic,"6 Cylinder",23100,,"American Dealer","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,163,,,,,,Live,
